Country: IL, city: Tel Aviv

08/12/2018 23:39:16.046,!Application................: Start
08/12/2018 23:39:27.638,!EEPROM Data................: OK.
08/12/2018 23:39:27.643,!SD card....................: Free: 8.0 MB from: 15.7 MB
08/12/2018 23:39:27.856,!LOG File...................: LOG_56_.CSV started
08/12/2018 23:39:28.009,!Version....................: SmartAir Nano 1.19 Nov  5 2018 10:59:27
08/12/2018 23:39:28.032,!MCU ID.....................: 003B003A 31375119 38323937
08/12/2018 23:39:28.065,!ARM height..........[m].ARH: 1.0    [0.0   /5.0   /32000.0]
08/12/2018 23:39:28.076,!DISARM height.......[m].DRH: 10.0   [-5000.0/3.0   /32000.0]
08/12/2018 23:39:28.088,!Vibrations value.[m/s2].VIB: 0.0001 [0.0   /2.0   /12.0]
08/12/2018 23:39:28.100,!No vibrations time..[s].NVI: 30     [1     /30    /3600  ]
08/12/2018 23:39:28.112,!Vibrations time.....[s].VIT: 10     [0     /10    /3600  ]
08/12/2018 23:39:28.124,!DISARM hgt/novib[1/2/3]DISE: 2      [0     /2     /3     ]
08/12/2018 23:39:28.136,!ARM hgt/novib...[1/2/3]ARME: 2      [0     /2     /3     ]
08/12/2018 23:39:28.148,!Vibrations freq...[sec].VIF: 100    [1     /100   /1000  ]
08/12/2018 23:39:28.160,!Start ARM mode..........ARM: 1      [0     /2     /2     ] 0-Manual ARM/DIS,1-Manual ARM/Auto DIS,2-Auto ARM/DIS
08/12/2018 23:39:28.173,!Start ARM mode.............: Manual ARM/Auto DISARM
08/12/2018 23:39:28.195,!Roll calibr.value.[deg].RCV: 3.5    [-90.0 /0.0   /90.0  ]
08/12/2018 23:39:28.206,!Pitch calibr.value[deg].PCV: 0.5    [-180.0/0.0   /180.0 ]
08/12/2018 23:39:28.218,!Landing gear auto.[0/1].LGR: 0      [0     /0     /1     ]
08/12/2018 23:39:28.230,!BARO sensor type........MST: 1      [0     /1     /1     ]
08/12/2018 23:39:28.242,!IMU Configuration.......IMU: 38    
08/12/2018 23:39:28.254,!IMU_ORIENTUS........[IMU+8]: DISABLED
08/12/2018 23:39:28.265,!IMU_SENSAIR........[IMU+16]: DISABLED
08/12/2018 23:39:28.276,!Use Servo/Pyro....[1/2]SVPY: 1      [0     /1     /2     ]
08/12/2018 23:39:28.287,!Pyro Sensor resistance..SPR: 0.35   [0.00  /0.35  /2.00  ]
08/12/2018 23:39:28.299,!Pyro test freq....[sec].PTS: 15     [0     /15    /32000 ]
08/12/2018 23:39:28.311,!Min. Vcapacitor.....[V].PRV: 4.0    [-1.0  /4.0   /20.0  ]
08/12/2018 23:39:28.323,!RC Configuration........RCE: 0      [0     /0     /3     ]
08/12/2018 23:39:28.335,!RC Configuration....[RCE+1]: RC Fire Disabled
08/12/2018 23:39:28.347,!RC Configuration....[RCE+2]: RC ARM/DISARM Disabled
08/12/2018 23:39:28.359,!Main Bat. num of cells..BNC: 1      [1     /1     /6     ]
08/12/2018 23:39:28.371,!Minimum bat voltage.....MCV: 3.1    [-1.0  /3.7   /6.0   ]
